,Date_time,date_documented,Year,Month,Hour,Season,Country_Code,Country,Region,Locale,latitude,longitude,UFO_shape,length_of_encounter_seconds,Encounter_Duration,Description;;
20,1974-10-10 21:30:00,2/1/2007,1974,10,21,Autumn,GBR,United Kingdom,Wales,Cardiff,51.5,-3.2,Disk,1200.0,20 minutes,back in 1974 I was 19 at the time and  lived in a suburb of Cardiff Wales UK called Ely&#44 and in the distance there was a wood called Ca;;
21,1974-10-10 23:00:00,7/25/2004,1974,10,23,Autumn,USA,United States,Kansas,Hudson,38.1055556,-98.6597222,Light,1200.0,one hour?,The light chased us.;;
22,1975-10-10 17:00:00,2/14/2008,1975,10,17,Autumn,USA,United States,South Carolina,North Charleston,32.8544444,-79.975,Light,360.0,5-6 minutes,Several Flashing UFO lights over Charleston Naval Base in S.C.;;
23,1976-10-10 20:30:00,2/7/2014,1976,10,20,Autumn,USA,United States,Washington,Washougal,45.5827778,-122.3522222,Oval,60.0,1 minute,Three extremely large lights hanging above nearby trees.;;
24,1976-10-10 22:00:00,12/12/2009,1976,10,22,Autumn,GBR,United Kingdom,England,Stoke Mandeville,51.783333,-0.783333,Cigar,3.0,3 seconds,White object over Buckinghamshire UK.;;
25,1977-10-10 12:00:00,2/24/2005,1977,10,12,Autumn,USA,United States,Texas,San Antonio,29.4238889,-98.4933333,Other,30.0,30 seconds,i was about six or seven and my family and me were sitting next to a window at home eating when a type of dark ball hit the screen wind;;
26,1977-10-10 22:00:00,3/17/2004,1977,10,22,Autumn,USA,United States,Kentucky,Louisville,38.2541667,-85.7594444,Light,30.0,approx: 30 seconds,HBCCUFO CANADIAN REPORT:  Pilot Sighting Of Unusual Light.;;
27,1978-10-10 02:00:00,2/1/2007,1978,10,2,Autumn,USA,United States,New York,Alden Manor,40.7008333,-73.7133333,Rectangle,300.0,5min,A memory I will never forget that happened meny years ago.;;
28,1979-10-10 00:00:00,4/16/2005,1979,10,0,Autumn,USA,United States,New York,Poughkeepsie,41.7002778,-73.9213889,Chevron,900.0,15 minutes,1/4 moon-like&#44  its &#39chord&#39 or flat side parallel to horizon&#44  bright orange-red glow&#44  completely silent&#44 no features.;;
29,1979-10-10 22:00:00,1/19/2005,1979,10,22,Autumn,CAN,Canada,Alberta,Saddle Lake,53.970571,-111.689885,Triangle,270.0,4.5 or more min.,Lights far above&#44  that glance; then flee from the celestrialhavens&#44 only to appear again.;
30,1979-10-10 22:00:00,8/5/2001,1979,10,22,Autumn,USA,United States,California,San Diego,32.7152778,-117.1563889,Oval,180.0,3 minutes,My 2nd UFO sighting&#44 October 1979;;
31,1979-10-10 22:00:00,1/28/1999,1979,10,22,Autumn,USA,United States,Colorado,Security,38.7583333,-104.7425,Unknown,1800.0,30mins.,very low clouds all different colors&#44search lights were seen shining down out of the clouds on the houses and streets. this event was s;;
32,1980-10-10 19:00:00,4/16/2005,1980,10,19,Autumn,USA,United States,Texas,Houston,29.7630556,-95.3630556,Sphere,180.0,3 min,Sphere&#44 No lights&#44  moving through neighborhoods above tree tops&#44 over busy streets in Houston in 1980.;;
33,1980-10-10 22:00:00,10/28/2002,1980,10,22,Autumn,USA,United States,Texas,Dallas,32.7833333,-96.8,Unknown,300.0,5 minutes,Strange shape shifting craft of pure light energy.;;
34,1980-10-10 23:30:00,11/21/2010,1980,10,23,Autumn,USA,United States,New Hampshire,Manchester,42.9955556,-71.4552778,Light,300.0,3 to 5 min,A red glowing sphere stopped and watched me.;;
35,1982-10-10 07:00:00,1/11/2002,1982,10,7,Autumn,NZL,New Zealand,Gisborne,Gisborne,-38.662334,178.017649,Disk,120.0,2min,gisborne nz 1982 wainui beach to sponge bay;;
36,1984-10-10 05:00:00,4/18/2012,1984,10,5,Autumn,USA,United States,Texas,Houston,29.7630556,-95.3630556,Circle,60.0,1 minute,2 experience with unkown;;
37,1984-10-10 12:00:00,10/7/2003,1984,10,12,Autumn,USA,United States,Michigan,Traverse City,44.7630556,-85.6205556,Other,120.0,couple minutes,translucent football seen over city airport;;
38,1984-10-10 22:00:00,8/10/1999,1984,10,22,Autumn,USA,United States,New York,White Plains,41.0338889,-73.7633333,Formation,20.0,15-20 seconds,Saw a hugh object in sky with lights intermittently placed not making any noise traveling north in the night sky.It had no real identif;;
39,1985-10-10 20:25:00,3/4/2003,1985,10,20,Autumn,GBR,United Kingdom,England,Leeds,53.8,-1.583333,Triangle,600.0,10min,three light in the sky that led to a big black silent triangle shaped craft.;;
40,1986-10-10 20:00:00,10/8/2007,1986,10,20,Autumn,USA,United States,New York,Holmes,41.523427,-73.646795,Chevron,180.0,3 minutes,Football Field Sized Chevron with bright white lights on front&#44 moving slowly with absolutely no sound;;
41,1988-10-10 18:00:00,8/7/2007,1988,10,18,Autumn,USA,United States,Wisconsin,Milwaukee,43.0388889,-87.9063889,Triangle,600.0,10 minutes,A silent black triangular object with no lights moved over us as we walked our dog across a school playground.;;
42,1988-10-10 21:00:00,1/10/2009,1988,10,21,Autumn,USA,United States,Maine,New Gloucester,43.9627778,-70.2830556,Unknown,120.0,few minutes,I&#39m still afraid to look at the sky at night.;;
43,1988-10-10 22:00:00,7/16/2006,1988,10,22,Autumn,USA,United States,Colorado,Boulder,40.015,-105.27,Light,60.0,1 minute,Three Stars Begin to Move Randomly&#44 Stop&#44 Change Direction&#44 Move Again&#44 And Then Vanish;;
44,1988-10-10 22:45:00,4/27/2004,1988,10,22,Autumn,USA,United States,Washington,Seattle,47.6063889,-122.3308333,Unknown,2.0,2 sec.,Two adult witnesses are stunned by the sound of an object that streaks above the home they are in.;;
45,1989-10-10 00:00:00,12/14/2004,1989,10,0,Autumn,USA,United States,California,Los Angeles,34.1577778,-118.6375,Disk,300.0,approx 5 min,Unidentified object on Mulholland Highway.;;
46,1989-10-10 21:00:00,4/27/2004,1989,10,21,Autumn,USA,United States,Washington,Centralia,46.7163889,-122.9530556,Triangle,60.0,1 minute,A huge triangularly shaped silent object that blotted out 25 degrees of the sky&#44 lighted by four glowing points.;;
47,1989-10-10 21:00:00,5/11/2005,1989,10,21,Autumn,USA,United States,Kentucky,Franklin,36.722263,-86.577218,Triangle,180.0,3min,Triangle seen in franklin Ky - october 1989;;
48,1990-10-10 21:00:00,10/8/2007,1990,10,21,Autumn,USA,United States,Georgia,Ashburn,31.7058333,-83.6533333,Triangle,120.0,2 minutes,Translucent Craft that makes No Sound While Moving;;
49,1991-10-10 22:00:00,1/28/1999,1991,10,22,Autumn,USA,United States,North Carolina,Frisco,35.235,-75.6288889,Unknown,1800.0,30 minutes,A friend and myself were standing on the shore of the Pamlico sound as we observed 4 objects moving in up and down motions for about 30;;
50,1991-10-10 22:00:00,5/9/2003,1991,10,22,Autumn,USA,United States,Pennsylvania,Hillside Village,40.2736111,-76.8847222,Triangle,600.0,10 minutes,We observed 3 triangular shaped high speed objects&#33;;
51,1992-10-10 17:00:00,1/28/1999,1992,10,17,Autumn,USA,United States,Florida,Panama City,30.1586111,-85.6602778,Formation,3600.0,1 hour(?),During a road trip to Panama City a friend and I witnessed a pair of luminous light formations appear and dissappear over the Gulf.;;
52,1992-10-10 18:00:00,4/18/2012,1992,10,18,Autumn,USA,United States,Texas,Stafford,29.6158333,-95.5575,Unknown,10.0,10 seconds,A man emerges from a beam of light that shines on a grassy field at night and he runs towards the Texas Instruments parking lot.;;
53,1992-10-10 20:15:00,10/31/2008,1992,10,20,Autumn,USA,United States,Tennessee,Newell Station,35.8905556,-83.7247222,Cigar,60.0,1min. 39s,Stationary Elongated UFO 200ft above vacant field with city lights on bottom;;
54,1992-10-10 22:00:00,9/2/2005,1992,10,22,Autumn,USA,United States,Texas,Weatherford,32.7591667,-97.7969444,Unknown,30.0,30 seconds,Black or dark grey.  Too big&#44 too low&#44 too slow&#44 too quiet&#44 for a normal aircraft.;;
55,1993-10-10 03:00:00,12/14/2004,1993,10,3,Autumn,RUS,Russia,Chelyabinsk Oblast,Zlatoust,55.183333,59.65,Sphere,1200.0,20 minutes,I woke up at night and looked out the window near my bed. There was a huge sphere of shining light in front of our nine floor apartment;;
56,1993-10-10 22:00:00,10/11/2005,1993,10,22,Autumn,USA,United States,Illinois,Peoria,40.6936111,-89.5888889,Light,8.0,8 seconds,Light over Peoria&#44 IL that moves slowly&#44 stops in mid-air&#44 hovers&#44 changes colors&#44 shoots in opposite direction and disappears.;;
57,1993-10-10 23:00:00,3/21/2003,1993,10,23,Autumn,USA,United States,Tennessee,Carthage,36.2522222,-85.9516667,Other,60.0,less than 1 min,1 object with green and red lights;;
58,1994-10-10 15:00:00,12/12/2011,1994,10,15,Autumn,USA,United States,Texas,Mercedes,26.149798,-97.913611,Cigar,3600.0,1 hour,ufo chased by fighter jet over Rio Grande Valley. Seen on news;;
59,1994-10-10 18:30:00,10/23/2013,1994,10,18,Autumn,USA,United States,New York,Burnt Hills,42.9097222,-73.8955556,Rectangle,120.0,2 minutes,Giant rectangular craft (resembling an upside-down aircraft carrier) over highway near Saratoga&#44 NY.;;
60,1994-10-10 22:00:00,2/18/2001,1994,10,22,Autumn,USA,United States,Arkansas,Pinebergen,34.1027778,-91.9922222,Light,5.0,5 seconds,Round&#44 bright&#44 low flying object silently speeds West of Arkansas town at 11:30pm&#44 10/10/94.;;
61,1994-10-10 23:00:00,7/3/2013,1994,10,23,Autumn,CAN,Canada,Ontario,Toronto,43.666667,-79.416667,Sphere,3600.0,~1 hour,Large rusty sphere;;
62,1995-10-10 19:45:00,11/2/1999,1995,10,19,Autumn,USA,United States,Wisconsin,Milwaukee,43.0388889,-87.9063889,,120.0,2 min.,Man  on Hwy 43 SW of Milwaukee sees large&#44 bright blue light streak by his car&#44 descend&#44 turn&#44 cross road ahead&#44 strobe. Bizarre&#33;;
63,1995-10-10 22:40:00,11/2/1999,1995,10,22,Autumn,USA,United States,California,Oakland,37.8044444,-122.2697222,,60.0,1 minute,Woman repts.  bright light in NW sky&#44 suddenly approaches her&#44 flies slowly overhead.  Swept wings&#44 2 blurry lights either side.;;
64,1996-10-10 03:20:00,2/16/2000,1996,10,3,Autumn,USA,United States,Missouri,Higginsville,39.0725,-93.7169444,Triangle,3.0,3sec,illuminated triangular craft&#44 flying at high speed from South to North;;
65,1996-10-10 20:00:00,5/24/1999,1996,10,20,Autumn,AUS,Australia,New South Wales,,-33.093373,151.588982,Light,300.0,5 min,RED LIGHT WITH OTHER RED FLASHING LIGHT&#44 ONE OBJECT;;
66,1996-10-10 22:00:00,11/26/2003,1996,10,22,Autumn,USA,United States,South Carolina,Charleston,32.7763889,-79.9311111,Light,300.0,5 min,Flashing object above Charleston&#44 SC;;
67,1996-10-10 22:30:00,7/8/2004,1996,10,22,Autumn,USA,United States,Ohio,Monroe,39.4402778,-84.3622222,Cylinder,60.0,1 minute,Looked like it went through the hillside;;
68,1997-10-10 16:00:00,1/28/1999,1997,10,16,Autumn,USA,United States,Indiana,Connersville,39.6411111,-85.1411111,Delta,14400.0,4 hours,3 differants types &#44 cluster &#44delta &#44 and one in a 3 pointed star design . followed it for six miles .;;
69,1997-10-10 17:00:00,2/14/2008,1997,10,17,Autumn,USA,United States,Arizona,Mesa,33.4222222,-111.8219444,Sphere,30.0,30 seconds,A small dark purple quad-thruster craft hovering 200-300 feet in the sky. 500 Lights On Object0: Yes;;
